DEN,Home,Loss,SAC,Away
HOU,Away,Loss,UTA,Home
UTA,Home,Win,HOU,Away
BKN,Away,Loss,POR,Home
POR,Home,Win,BKN,Away
CHA,Away,Loss,CLE,Home
CLE,Home,Win,CHA,Away
NY,Away,Loss,IND,Home
IND,Home,Win,NY,Away
PHI,Away,Loss,DET,Home
DET,Home,Win,PHI,Away
GS,Away,Win,MIA,Home
MIA,Home,Loss,GS,Away
MIN,Away,Loss,TOR,Home
TOR,Home,Win,MIN,Away
WAS,Away,Loss,CHI,Home
CHI,Home,Win,WAS,Away
LAL,Away,Loss,MEM,Home
MEM,Home,Win,LAL,Away
OKC,Away,Win,DAL,Home
DAL,Home,Loss,OKC,Away
DEN,Away,Win,LAC,Home
LAC,Home,Loss,DEN,Away
SA,Away,Win,SAC,Home
SAC,Home,Loss,SA,Away
GS,Away,Win,ORL,Home
ORL,Home,Loss,GS,Away
MIL,Away,Loss,BOS,Home
BOS,Home,Win,MIL,Away
OKC,Away,Loss,NO,Home
NO,Home,Win,OKC,Away
BKN,Away,Win,PHO,Home
PHO,Home,Loss,BKN,Away
HOU,Away,Win,POR,Home
POR,Home,Loss,HOU,Away
SA,Away,Win,UTA,Home
UTA,Home,Loss,SA,Away
CHA,Away,Win,IND,Home
IND,Home,Loss,CHA,Away
WAS,Away,Win,PHI,Home
PHI,Home,Loss,WAS,Away
ORL,Away,Loss,NY,Home
NY,Home,Win,ORL,Away
CLE,Away,Loss,TOR,Home
TOR,Home,Win,CLE,Away
CHI,Away,Loss,ATL,Home
ATL,Home,Win,CHI,Away
DEN,Away,Loss,DAL,Home
DAL,Home,Win,DEN,Away
LAC,Away,Win,SAC,Home
SAC,Home,Loss,LAC,Away
MEM,Away,Win,LAL,Home
LAL,Home,Loss,MEM,Away
MIA,Away,Loss,BOS,Home
BOS,Home,Win,MIA,Away
MIN,Away,Win,NO,Home
NO,Home,Loss,MIN,Away
POR,Away,Win,CHI,Home
CHI,Home,Loss,POR,Away
SA,Away,Win,HOU,Home
HOU,Home,Loss,SA,Away
DET,Away,Win,MIL,Home
MIL,Home,Loss,DET,Away
GS,Away,Win,OKC,Home
OKC,Home,Loss,GS,Away
MEM,Away,Loss,PHO,Home
PHO,Home,Win,MEM,Away
BKN,Away,Win,UTA,Home
UTA,Home,Loss,BKN,Away
CLE,Away,Loss,WAS,Home
WAS,Home,Win,CLE,Away
CHA,Away,Loss,ATL,Home
ATL,Home,Win,CHA,Away
